Sensor,Variant,Temp (C),Voltage (V),LSBs Used,Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate,VN Min-Entropy (bits/bit)
A1,A,0,3.3,1,0.9075140236114664,10000000,2500557,0.2500557,0.499873428200197,188,188,1.0,0.9030319696690664
A1,A,0,5.0,1,0.8995766145925014,10000000,2499183,0.2499183,0.5001410460938635,188,188,1.0,0.8413636425011698
A1,A,24,3.3,1,0.9246874370277568,10000000,2499175,0.2499175,0.5001746576370202,188,188,1.0,0.9177935090921404
A1,A,24,5.0,1,0.8931429894664927,10000000,2501010,0.250101,0.5005681704591345,188,188,1.0,0.8520670925747984
A1,A,40,3.3,1,0.9303827017429848,10000000,2497790,0.249779,0.5003931475424275,188,188,1.0,0.8699533602476639
A1,A,40,5.0,1,0.9034114451671332,10000000,2500609,0.2500609,0.4994547328270833,188,188,1.0,0.9202561095829296
A2,A,0,3.3,1,0.889054422168571,10000000,2499961,0.2499961,0.5001702026551614,188,188,1.0,0.8564396786469896
A2,A,0,5.0,1,0.907770534223881,10000000,2498990,0.249899,0.4999707881984321,188,188,1.0,0.8814996904239348
A2,A,24,3.3,1,0.8848152163193679,10000000,2499364,0.2499364,0.5000296075321562,188,188,1.0,0.887439699014024
A2,A,24,5.0,1,0.9354066112394646,10000000,2500924,0.2500924,0.5000755720685635,188,188,1.0,0.8962583447335474
A2,A,40,3.3,1,0.8981924073670946,10000000,2500434,0.2500434,0.4997984349916854,188,188,1.0,0.864712338306739
A2,A,40,5.0,1,0.9407643278630556,10000000,2502158,0.2502158,0.4997777918101095,187,188,0.9946808510638298,0.8560284495885705
A3,A,0,3.3,1,0.8895299821172079,10000000,2499363,0.2499363,0.5001718437857966,188,188,1.0,0.8823448553152633
A3,A,0,5.0,1,0.9303623642949024,10000000,2499638,0.2499638,0.4997695666332485,188,188,1.0,0.9307581906097748
A3,A,24,3.3,1,0.91172356153639,10000000,2498267,0.2498267,0.4999517665645825,188,188,1.0,0.8344374948605782
A3,A,24,5.0,1,0.9122270824886084,10000000,2500700,0.25007,0.4998288479225817,188,188,1.0,0.9094646723566012
A3,A,40,5.0,1,0.9112863777565869,10000000,2499280,0.249928,0.4996823085048494,188,188,1.0,0.8771799639184534
A4,A,0,3.3,1,0.9000003495777259,10000000,2498951,0.2498951,0.4997096781809647,187,188,0.9946808510638298,0.8732126081322839
A4,A,0,5.0,1,0.9083304043083106,10000000,2499027,0.2499027,0.5000342133158225,188,188,1.0,0.8767364842138193
A4,A,24,3.3,1,0.9105248596726756,10000000,2499114,0.2499114,0.5010019550928849,161,162,0.9938271604938272,0.8724319591764601
A4,A,24,5.0,1,0.9115940789138008,10000000,2500617,0.2500617,0.499900624525867,186,188,0.9893617021276596,0.87159698375689
A4,A,40,5.0,1,0.90920314571518,10000000,2500902,0.2500902,0.5001363508046297,187,188,0.9946808510638298,0.8246280764763607
A5,A,0,3.3,1,0.9094556969514622,10000000,2502063,0.2502063,0.5002144230580925,188,188,1.0,0.8841021218010474
A5,A,0,5.0,1,0.9354066112394646,10000000,2500804,0.2500804,0.4997356850037028,187,188,0.9946808510638298,0.8696325193003337
A5,A,24,3.3,1,0.9202764057668684,10000000,2501149,0.2501149,0.5001513304485259,188,188,1.0,0.8519637249033303
A5,A,24,5.0,1,0.8988606538814036,10000000,2499639,0.2499639,0.4997985709136399,188,188,1.0,0.8846171290439818
A5,A,40,5.0,1,0.8989215712291334,10000000,2499743,0.2499743,0.4999285926593254,188,188,1.0,0.9097206485350614
A6,A,0,3.3,1,0.9126923865158812,10000000,2499799,0.2499799,0.4997769820693584,187,188,0.9946808510638298,0.8905298127929887
A6,A,0,5.0,1,0.900623974897658,10000000,2500308,0.2500308,0.5000527934958413,188,188,1.0,0.8743753159278923
A6,A,24,3.3,1,0.904693873244692,10000000,2499254,0.2499254,0.4999191758820832,186,188,0.9893617021276596,0.8662668177229622
A6,A,24,5.0,1,0.9389360595772988,10000000,2500802,0.2500802,0.5000991681868456,188,188,1.0,0.8897816022643231
A6,A,40,5.0,1,0.8387103592930433,10000000,2499249,0.2499249,0.5002298690526634,188,188,1.0,0.8826717860600546
A7,A,0,3.3,1,0.898033438648016,10000000,2500835,0.2500835,0.5001333554592766,188,188,1.0,0.8808722520885256
A7,A,0,5.0,1,0.9019421681281258,10000000,2499499,0.2499499,0.4994148827425016,188,188,1.0,0.8939377240439429
A7,A,24,3.3,1,0.92854219758919,10000000,2501220,0.250122,0.5001071477119166,185,188,0.9840425531914894,0.8732480913700135
A7,A,24,5.0,1,0.907205716989141,10000000,2499811,0.2499811,0.5001602121120357,188,188,1.0,0.9289417518991756
A7,A,40,5.0,1,0.9031746275679703,10000000,2499295,0.2499295,0.5003190899833753,188,188,1.0,0.851042829398247
B1,B,0,3.3,1,0.899448084385447,10000000,2499466,0.2499466,0.5001620346105928,188,188,1.0,0.9226136279424068
B1,B,0,5.0,1,0.92286635576985,10000000,2498484,0.2498484,0.5002537538763506,188,188,1.0,0.8913010076392208
B1,B,24,3.3,1,0.9137802082994224,10000000,2498759,0.2498759,0.4998081047431945,187,188,0.9946808510638298,0.8878570191283791
B1,B,24,5.0,1,0.8970662356918462,10000000,2499951,0.2499951,0.5000490009604188,188,188,1.0,0.8570466504788458
B1,B,40,3.3,1,0.9159565343817988,10000000,2498524,0.2498524,0.5002413424886053,188,188,1.0,0.8343307989585448
B1,B,40,5.0,1,0.9020504204203044,10000000,2501553,0.2501553,0.4999422358830694,188,188,1.0,0.9001108601966771
B2,B,0,3.3,1,0.8957211411118005,10000000,2500651,0.2500651,0.4996366946047249,188,188,1.0,0.8864836654110043
B2,B,0,5.0,1,0.9143421525061424,10000000,2501492,0.2501492,0.499791324537516,188,188,1.0,0.8874492585361362
B2,B,24,3.3,1,0.8925268236378315,10000000,2500447,0.2500447,0.5001913657837979,162,162,1.0,0.8697499978742339
B2,B,24,5.0,1,0.9043127467930588,10000000,2501548,0.2501548,0.4995350878735887,188,188,1.0,0.9201281214418044
