Sensor,Variant,Temp (C),Voltage (V),LSBs Used,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A1,A,0,3.3,2,0.9167570536636735,0.8782926002870545,20000000,4997836,0.2498918,0.5002927266921123,188,188,1.0
A1,A,0,5.0,2,0.9286722770940432,0.8867744798315039,20000000,5000314,0.2500157,0.4999504031146844,188,188,1.0
A1,A,24,3.3,2,0.918612052122614,0.902745410050549,20000000,4999298,0.2499649,0.4997269616654178,188,188,1.0
A1,A,24,5.0,2,0.9219377762641718,0.879240387931572,20000000,5003114,0.2501557,0.4991033584283708,188,188,1.0
A1,A,40,3.3,2,0.879506171453902,0.861069601308822,20000000,5009160,0.250458,0.5008113136733504,186,188,0.9893617021276596
A1,A,40,5.0,2,0.9195077711992764,0.8722746756272496,20000000,4996170,0.2498085,0.4990074396988093,188,188,1.0
A2,A,0,3.3,2,0.9130179006239344,0.8730762711499186,20000000,4999274,0.2499637,0.4988596344189176,186,188,0.9893617021276596
A2,A,0,5.0,2,0.9239626609318852,0.9313538129580984,20000000,4997831,0.24989155,0.5002306000342949,187,188,0.9946808510638298
A2,A,24,3.3,2,0.918174915398132,0.8742108020412984,20000000,5000985,0.25004925,0.4998161362211644,185,188,0.9840425531914894
A2,A,24,5.0,2,0.916166828312078,0.9070841780614258,20000000,5003205,0.25016025,0.5001356130720208,188,188,1.0
A2,A,40,3.3,2,0.9062918063056412,0.8754797653852745,20000000,4999771,0.24998855,0.4978652022262619,184,188,0.9787234042553192
A2,A,40,5.0,2,0.9141783177830236,0.8970012816516038,20000000,5003705,0.25018525,0.5002605069643394,188,188,1.0
A3,A,0,3.3,2,0.9142866675584504,0.9347709089455531,20000000,5015292,0.2507646,0.5001298030104727,187,188,0.9946808510638298
A3,A,0,5.0,2,0.9080986190789826,0.9045574494944044,20000000,4998206,0.2499103,0.498440640501812,183,188,0.973404255319149
A3,A,24,3.3,2,0.9033819505686688,0.88834488026589,20000000,5000741,0.25003705,0.5022523661993292,159,162,0.9814814814814816
A3,A,24,5.0,2,0.9132275681256212,0.8821190901172478,20000000,5001712,0.2500856,0.4991914768383305,187,188,0.9946808510638298
A4,A,0,3.3,2,0.9150266175900374,0.9248607165125948,20000000,5000278,0.2500139,0.4997296150334041,188,188,1.0
A4,A,0,5.0,2,0.936164028189666,0.9076600989589192,20000000,5001534,0.2500767,0.4993124109523198,187,188,0.9946808510638298
A4,A,24,3.3,2,0.9095333251998322,0.8771151422730855,20000000,5007208,0.2503604,0.5015855143225526,159,162,0.9814814814814816
A4,A,24,5.0,2,0.9077685991797536,0.8620906518660538,20000000,4998781,0.24993905,0.5007354793098557,188,188,1.0
