Sensor,Variant,Temp (C),Voltage (V),LSBs Used,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A1,A,0,3.3,4,0.5270928672984249,0.615940409175069,40000000,9990892,0.2497723,0.4999728752948185,58,188,0.3085106382978723
A1,A,0,5.0,4,0.7749775289565967,0.819516049067499,40000000,9999654,0.24999135,0.4997289906230756,174,188,0.925531914893617
A1,A,24,3.3,4,0.551545099700912,0.6286056796283805,40000000,9980455,0.249511375,0.4995853395461429,73,188,0.3882978723404255
A1,A,24,5.0,4,0.7147799463059186,0.768502456971646,40000000,9998497,0.249962425,0.4993075459241524,132,188,0.7021276595744681
A1,A,40,3.3,4,0.4354340753484519,0.4937445967258336,40000000,10013979,0.250349475,0.5016811998507287,20,162,0.1234567901234567
A1,A,40,5.0,4,0.8401805370231994,0.8491153110550514,40000000,10000098,0.25000245,0.4994011058691625,184,188,0.9787234042553192
A2,A,0,3.3,4,0.4475291021349345,0.5287585066340225,40000000,10020543,0.250513575,0.4985883499526922,15,162,0.0925925925925925
A2,A,0,5.0,4,0.7590337443028234,0.8133391264434211,40000000,9998142,0.24995355,0.5000222041255266,159,188,0.8457446808510638
A2,A,24,3.3,4,0.6375036671769815,0.7217918421176107,40000000,9994026,0.24985065,0.5004694804676314,120,188,0.6382978723404256
A2,A,24,5.0,4,0.6240535645782094,0.6980565093739554,40000000,9999629,0.249990725,0.4999001462954275,94,188,0.5
A2,A,40,3.3,4,0.4667238816515544,0.5279153185815624,40000000,9989030,0.24972575,0.4991981203380108,24,162,0.1481481481481481
A2,A,40,5.0,4,0.7439972854206109,0.789448538115145,40000000,10006044,0.2501511,0.5003642798292712,172,188,0.9148936170212766
A3,A,0,3.3,4,0.6565710105844481,0.6613909298317872,40000000,10015144,0.2503786,0.5180576534895555,46,162,0.2839506172839506
A3,A,0,5.0,4,0.7318196976292918,0.7058557718049543,40000000,10237840,0.255946,0.4754573230290764,6,162,0.037037037037037
A3,A,24,3.3,4,0.6138131041014916,0.6659835502718382,40000000,9979615,0.249490375,0.5022553475259316,111,188,0.5904255319148937
A3,A,24,5.0,4,0.8038100074518236,0.8162961248993686,40000000,10024243,0.250606075,0.4998699652432607,179,188,0.952127659574468
A3,A,40,5.0,4,0.7245954124312027,0.741860694912189,40000000,9956504,0.2489126,0.5054360446196777,0,162,0.0
A4,A,0,3.3,4,0.8188426713457373,0.8441385055555455,40000000,10014069,0.250351725,0.4995291124916355,178,188,0.946808510638298
A4,A,0,5.0,4,0.8099690750225076,0.8207269731282388,40000000,10239692,0.2559923,0.4903703158259057,106,188,0.5638297872340425
A4,A,24,3.3,4,0.6981467255563536,0.7231189065472714,40000000,9984893,0.249622325,0.5023294691290132,155,188,0.824468085106383
A4,A,24,5.0,4,0.7883808723120231,0.816823782238811,40000000,10020756,0.2505189,0.5003245264129772,173,188,0.9202127659574468
A4,A,40,5.0,4,0.6799551384463296,0.6921397329409267,40000000,10000800,0.25002,0.500297176225902,115,162,0.7098765432098766
A5,A,0,3.3,4,0.5823011502063504,0.6430927353229053,40000000,9990285,0.249757125,0.5017069082613759,48,162,0.2962962962962963
A5,A,0,5.0,4,0.8221286370830664,0.8334925531131564,40000000,10010245,0.250256125,0.499644514195207,184,188,0.9787234042553192
A5,A,24,3.3,4,0.4819870141620752,0.5412544584204212,40000000,10014532,0.2503633,0.4997626449243958,42,188,0.2234042553191489
A5,A,24,5.0,4,0.7326800327387026,0.753534172409256,40000000,9975652,0.2493913,0.4995222367420194,161,188,0.8563829787234043
A5,A,40,5.0,4,0.6275592431938236,0.6527868400879977,40000000,10009891,0.250247275,0.4977187064274725,62,162,0.382716049382716
A6,A,0,3.3,4,0.6900285295759997,0.7553535364943283,40000000,9986055,0.249651375,0.4988700743186373,132,188,0.7021276595744681
A6,A,0,5.0,4,0.7930461556707065,0.7843221432886908,40000000,10007148,0.2501787,0.4818366831388923,49,162,0.3024691358024691
A6,A,24,3.3,4,0.5515893511315455,0.6102337604237144,40000000,9999468,0.2499867,0.4978560859437722,42,162,0.2592592592592592
A6,A,24,5.0,4,0.7685824389081931,0.8008161993970956,40000000,10006960,0.250174,0.5013155843532902,172,188,0.9148936170212766
A6,A,40,5.0,4,0.626760604456236,0.6378565704810818,40000000,10029073,0.250726825,0.5009450025939586,34,162,0.2098765432098765
A7,A,0,3.3,4,0.8436856615775223,0.8743974862219269,40000000,9991670,0.24979175,0.5009543950110442,154,162,0.9506172839506172
A7,A,0,5.0,4,0.7420172426007673,0.7506062292553294,40000000,9365567,0.234139175,0.5297666441337722,44,162,0.2716049382716049
A7,A,24,3.3,4,0.7366646510622074,0.7543273057927893,40000000,10042549,0.251063725,0.50054393560838,149,188,0.7925531914893617
A7,A,24,5.0,4,0.7524562878349467,0.7835160111060092,40000000,10036351,0.250908775,0.4996228210830808,156,188,0.8297872340425532
A7,A,40,5.0,4,0.6857666589751598,0.6993814986073591,40000000,9991374,0.24978435,0.4960721118036418,82,162,0.5061728395061729
B1,B,0,3.3,4,0.7203237881134755,0.713047825280595,40000000,10766648,0.2691662,0.5243458316831757,14,162,0.0864197530864197
B1,B,0,5.0,4,0.6933474870360686,0.646610775285458,40000000,9815752,0.2453938,0.4395220050384321,22,162,0.1358024691358024
B1,B,24,3.3,4,0.4547936872549922,0.5075761718363793,40000000,9990808,0.2497702,0.4975494474520979,6,162,0.037037037037037
B1,B,24,5.0,4,0.5589337977435901,0.6003525811455168,40000000,9956725,0.248918125,0.4978612947530438,42,162,0.2592592592592592
B1,B,40,3.3,4,0.4782320865136387,0.5122394358599035,40000000,9987726,0.24969315,0.494910953704577,5,162,0.0308641975308641
B1,B,40,5.0,4,0.6371428255851025,0.6575809301563372,40000000,10037384,0.2509346,0.5002659059372442,52,162,0.3209876543209876
B2,B,0,3.3,4,0.5098384073630466,0.5754641883123941,40000000,9975021,0.249375525,0.4991812047312983,38,162,0.2345679012345679
B2,B,0,5.0,4,0.8889017803475644,0.8970257737584745,40000000,10004855,0.250121375,0.500401455093552,187,188,0.9946808510638298
B2,B,24,3.3,4,0.6647344357116135,0.7263811373973397,40000000,10002650,0.25006625,0.4990423537762493,133,188,0.7074468085106383
B2,B,24,5.0,4,0.7685706438428617,0.819399030696255,40000000,10006721,0.250168025,0.4998573458778355,132,188,0.7021276595744681
B2,B,40,3.3,4,0.4835000814641085,0.5319006223845705,40000000,10026939,0.250673475,0.4992238408950129,14,162,0.0864197530864197
B2,B,40,5.0,4,0.8698833021972155,0.861642369760426,40000000,9994022,0.24985055,0.4998753254695657,183,188,0.973404255319149
B3,B,0,3.3,4,0.9048832100173096,0.8948757300791451,40000000,9960345,0.249008625,0.4978164912962352,182,188,0.9680851063829788
B3,B,0,5.0,4,0.8741919634032452,0.8863704027396637,40000000,10015701,0.250392525,0.5001133719946312,187,188,0.9946808510638298
B3,B,24,3.3,4,0.8884284745705516,0.8856554193595539,40000000,10008280,0.250207,0.5009784898104369,183,188,0.973404255319149
B3,B,24,5.0,4,0.9311472440072928,0.8560789625107094,40000000,10034021,0.250850525,0.500261261163396,174,188,0.925531914893617
B3,B,40,3.3,4,0.858877129934091,0.8600255329152028,40000000,10000760,0.250019,0.5022949255856555,155,162,0.9567901234567902
B3,B,40,5.0,4,0.8878766214064041,0.8670731592545741,40000000,10042249,0.251056225,0.5001556922159568,186,188,0.9893617021276596
B4,B,0,3.3,4,0.8111197686902186,0.8281350031893592,40000000,10015588,0.2503897,0.5005743047737188,186,188,0.9893617021276596
B4,B,0,5.0,4,0.7652394326114784,0.8983721750968704,40000000,9990245,0.249756125,0.4995495105475391,185,188,0.9840425531914894
B4,B,24,3.3,4,0.5007985543992616,0.5836570059411864,40000000,9951549,0.248788725,0.4967885903993438,27,162,0.1666666666666666
B4,B,24,5.0,4,0.7252870906393468,0.7784473413020364,40000000,9989448,0.2497362,0.5005912238594165,167,188,0.8882978723404256
B4,B,40,3.3,4,0.4857051413235866,0.5274264914882282,40000000,9946948,0.2486737,0.4998524170428959,4,162,0.0246913580246913
B4,B,40,5.0,4,0.6410359648086428,0.6556633767484882,40000000,9981494,0.24953735,0.4949318208276236,18,162,0.1111111111111111
B5,B,0,3.3,4,0.8109373655507324,0.8328743838686776,40000000,9991453,0.249786325,0.501656165524674,173,188,0.9202127659574468
B5,B,0,5.0,4,0.8125900056480405,0.8248632874735032,40000000,10014749,0.250368725,0.4994609450521426,172,188,0.9148936170212766
B5,B,24,3.3,4,0.7105441527963827,0.7341734148652433,40000000,10019891,0.250497275,0.5009272056951518,144,188,0.7659574468085106
B5,B,24,5.0,4,0.6975204472715171,0.7087785776241929,40000000,10015415,0.250385375,0.4991685317083715,152,188,0.8085106382978723
B5,B,40,5.0,4,0.622964757787556,0.6406110750392234,40000000,9893802,0.24734505,0.4993007743635864,29,162,0.1790123456790123
B6,B,0,3.3,4,0.7875962399661766,0.8247108160011787,40000000,9961817,0.249045425,0.4969381589724043,172,188,0.9148936170212766
B6,B,0,5.0,4,0.8011806464217249,0.8351784132884066,40000000,10001754,0.25004385,0.4987061269453338,178,188,0.946808510638298
B6,B,24,3.3,4,0.6898297573130519,0.7261915863778873,40000000,9988989,0.249724725,0.4982421143921572,126,162,0.7777777777777778
B6,B,24,5.0,4,0.6897512444234407,0.7256644303553482,40000000,10018551,0.250463775,0.5007550493080287,153,188,0.8138297872340425
B6,B,40,5.0,4,0.6114124711866455,0.6623877928386821,40000000,9976970,0.24942425,0.4990689558052194,115,188,0.6117021276595744
C1,C,0,3.3,4,0.9189403947008422,0.9219296176094636,40000000,10012135,0.250303375,0.4999484126013083,188,188,1.0
C1,C,0,5.0,4,0.9211137637344188,0.9082282012236984,40000000,10005651,0.250141275,0.4994442640463873,185,188,0.9840425531914894
C1,C,24,3.3,4,0.9192053054183228,0.905766525667558,40000000,10012652,0.2503163,0.4990212383292658,184,188,0.9787234042553192
C1,C,24,5.0,4,0.9267474095536236,0.9140244124779824,40000000,9997372,0.2499343,0.5006357670795886,188,188,1.0
C1,C,40,5.0,4,0.9308177045641256,0.8932772853883453,40000000,9999326,0.24998315,0.4990492359185009,1,188,0.0053191489361702
C2,C,0,3.3,4,0.4524192115191711,0.5302475972922553,40000000,9978543,0.249463575,0.5011063238390615,10,162,0.0617283950617283
C2,C,0,5.0,4,0.8276161308760841,0.8640109675616898,40000000,10001810,0.25004525,0.5000670878570979,180,188,0.9574468085106383
C2,C,24,3.3,4,0.5709059667974736,0.6480552535637971,40000000,10000120,0.250003,0.5000325996088046,69,188,0.3670212765957447
C2,C,24,5.0,4,0.7236973784939879,0.7745731652959688,40000000,10001520,0.250038,0.5011023324454683,137,188,0.7287234042553191
C2,C,40,3.3,4,0.4347124834191131,0.4886309720045259,40000000,10024267,0.250606675,0.5004219261119043,8,162,0.0493827160493827
C2,C,40,5.0,4,0.8550686377690391,0.8468692470774551,40000000,10002659,0.250066475,0.4988849464927276,184,188,0.9787234042553192
C3,C,0,3.3,4,0.6477712363163631,0.6689175889841085,40000000,10006500,0.2501625,0.4984453105481437,90,162,0.5555555555555556
C3,C,0,5.0,4,0.8552693091810227,0.8823213953875939,40000000,9822397,0.245559925,0.5029085059380108,140,162,0.8641975308641975
C3,C,24,3.3,4,0.6798709563799292,0.699276324646607,40000000,9987875,0.249696875,0.4979240328898789,120,162,0.7407407407407407
C3,C,24,5.0,4,0.91769406474475,0.908210974703771,40000000,10003855,0.250096375,0.4993277091681157,188,188,1.0
C3,C,40,5.0,4,0.9211663659429696,0.906369372021552,40000000,9986678,0.24966695,0.4995783382622329,183,188,0.973404255319149
C4,C,0,3.3,4,0.6208919387736882,0.6474176367745156,40000000,10009472,0.2502368,0.5012606059540403,71,162,0.4382716049382716
C4,C,0,5.0,4,0.9211201983132395,0.8919475215640476,40000000,9996543,0.249913575,0.4995811051880635,186,188,0.9893617021276596
C4,C,24,3.3,4,0.5259598022297995,0.5604986314185287,40000000,10012986,0.25032465,0.5004634981013656,29,162,0.1790123456790123
C4,C,24,5.0,4,0.8202607996671526,0.821584309676931,40000000,9997526,0.24993815,0.5005139271455759,175,188,0.9308510638297872
C4,C,40,5.0,4,0.8232367114350949,0.8191299450061745,40000000,9958938,0.24897345,0.4984855814947336,160,188,0.851063829787234
C5,C,0,3.3,4,0.670082724272424,0.6843117268656073,40000000,9979107,0.249477675,0.4983481988919449,75,162,0.4629629629629629
C5,C,0,5.0,4,0.918638546872415,0.9107824199685388,40000000,9993346,0.24983365,0.5007747154956909,182,188,0.9680851063829788
C5,C,24,3.3,4,0.4967967598365002,0.5295379094507916,40000000,9991442,0.24978605,0.4997876182436929,3,162,0.0185185185185185
C5,C,24,5.0,4,0.789579640067533,0.8031231545719787,40000000,9992098,0.24980245,0.4999525625148993,145,162,0.8950617283950617
