Sensor,Variant,Temp (C),Voltage (V),Bit Position,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A1,A,0,3.3,1,0.93466671357429,0.8701853425189126,10000000,2499701,0.2499701,0.500132615860857,188,188,1.0
A1,A,0,5.0,1,0.91599236147922,0.8641211159099919,10000000,2499467,0.2499467,0.5001194254615084,188,188,1.0
A1,A,24,3.3,1,0.9259678612063132,0.8980514584625449,10000000,2498827,0.2498827,0.5001966922880215,188,188,1.0
A1,A,24,5.0,1,0.9170537057217004,0.8991064353362018,10000000,2500828,0.2500828,0.5004666454470279,188,188,1.0
A1,A,40,3.3,1,0.8777849043474922,0.8663091958248362,10000000,2496130,0.249613,0.4994387311558292,187,188,0.9946808510638298
A1,A,40,5.0,1,0.93263667290774,0.9046626387480518,10000000,2499807,0.2499807,0.499213739300674,188,188,1.0
A2,A,0,3.3,1,0.8955751630442773,0.8653992806068455,10000000,2498749,0.2498749,0.5004192097725702,188,188,1.0
A2,A,0,5.0,1,0.915693462345998,0.8763904119855623,10000000,2499601,0.2499601,0.4999717954985616,188,188,1.0
A2,A,24,3.3,1,0.9352408818477076,0.8969778737285178,10000000,2500377,0.2500377,0.5001069838668328,188,188,1.0
A2,A,24,5.0,1,0.8897686133530808,0.8956149050568732,10000000,2499101,0.2499101,0.4994303951701032,187,188,0.9946808510638298
A2,A,40,3.3,1,0.8850903278234967,0.867276522941736,10000000,2498711,0.2498711,0.5000486250710866,188,188,1.0
A2,A,40,5.0,1,0.8910196073806446,0.8777202927170885,10000000,2498963,0.2498963,0.4997913134368136,187,188,0.9946808510638298
A3,A,0,3.3,1,0.9062333235281338,0.8647297869292788,10000000,2500505,0.2500505,0.5002633468039456,188,188,1.0
A3,A,0,5.0,1,0.9144504504520614,0.8799720810181751,10000000,2499520,0.249952,0.500297257073358,188,188,1.0
A3,A,24,3.3,1,0.9198683868984452,0.8920445759398938,10000000,2499892,0.2499892,0.499914796319201,188,188,1.0
A3,A,24,5.0,1,0.8983211926137261,0.8741734898158734,10000000,2498392,0.2498392,0.5001200772336767,188,188,1.0
A4,A,0,3.3,1,0.911712066085844,0.8899684872354158,10000000,2498331,0.2498331,0.5002315545858415,188,188,1.0
A4,A,0,5.0,1,0.9371508134688236,0.8979947514300031,10000000,2501011,0.2501011,0.5002568961112126,188,188,1.0
A4,A,24,3.3,1,0.9004909701145637,0.9002929708348426,10000000,2500318,0.2500318,0.4999404075801558,188,188,1.0
A4,A,24,5.0,1,0.8925203330595192,0.872318464566201,10000000,2501884,0.2501884,0.5002873834278487,187,188,0.9946808510638298
A5,A,0,3.3,1,0.8960127575738214,0.878143209665608,10000000,2497771,0.2497771,0.5001627451035343,188,188,1.0
A5,A,0,5.0,1,0.8879096529620972,0.8370756235603299,10000000,2499829,0.2499829,0.5002298157193952,188,188,1.0
A5,A,24,3.3,1,0.8946202035397978,0.8576801770773234,10000000,2499714,0.2499714,0.4993027202311944,187,188,0.9946808510638298
A5,A,24,5.0,1,0.8986385854718448,0.8875260358504331,10000000,2498467,0.2498467,0.4999113456371447,188,188,1.0
A6,A,0,3.3,1,0.8962225543401133,0.859409547611586,10000000,2499601,0.2499601,0.4999473916036999,188,188,1.0
A6,A,0,5.0,1,0.8948670315839163,0.9021611309775891,10000000,2501761,0.2501761,0.5001145193325821,188,188,1.0
A6,A,24,3.3,1,0.8791260464511366,0.8906727008739854,10000000,2499991,0.2499991,0.5000078000280801,188,188,1.0
A6,A,24,5.0,1,0.8849056389963009,0.8805008442438401,10000000,2499214,0.2499214,0.5001048329594825,188,188,1.0
A7,A,0,3.3,1,0.922312281161696,0.8725413788860593,10000000,2501563,0.2501563,0.4996176390520646,188,188,1.0
A7,A,0,5.0,1,0.898449028509282,0.8570814388664983,10000000,2499775,0.2499775,0.49988058925303275,188,188,1.0
A7,A,24,3.3,1,0.8876857766438787,0.9066844510752554,10000000,2499084,0.2499084,0.5005822133229615,188,188,1.0
A7,A,24,5.0,1,0.9071151888490273,0.8557927895362097,10000000,2498814,0.2498814,0.49959380730218417,188,188,1.0
B1,B,0,3.3,1,0.903173538161787,0.8740942170047422,10000000,2498361,0.2498361,0.499871715896942,187,188,0.9946808510638298
B1,B,0,5.0,1,0.896489473928055,0.879745853911755,10000000,2498725,0.2498725,0.5000702358202683,188,188,1.0
B1,B,24,3.3,1,0.8879408788808084,0.8888867123855575,10000000,2500187,0.2500187,0.4999878009124917,188,188,1.0
B1,B,24,5.0,1,0.9116996457963474,0.922419301626268,10000000,2500614,0.2500614,0.4998632335898303,187,188,0.9946808510638298
B1,B,40,3.3,1,0.9022301229490334,0.856856559693124,10000000,2499671,0.2499671,0.5002886379847588,188,188,1.0
B1,B,40,5.0,1,0.911301456794968,0.8726968284358292,10000000,2501236,0.2501236,0.5003258389052453,188,188,1.0
B2,B,0,3.3,1,0.9028870215089656,0.8419706859563038,10000000,2501559,0.2501559,0.5003068086741108,188,188,1.0
B2,B,0,5.0,1,0.9094804834889114,0.8246431921069829,10000000,2501534,0.2501534,0.4999352397368974,188,188,1.0
B2,B,24,3.3,1,0.8822842115568058,0.8370378210251853,10000000,2499446,0.2499446,0.5006409420327544,188,188,1.0
B2,B,24,5.0,1,0.9354066112394646,0.8906073718404487,10000000,2500252,0.2500252,0.4997584243508254,187,188,0.9946808510638298
B2,B,40,3.3,1,0.930970032040884,0.9327843257408576,10000000,2499185,0.2499185,0.5003603174634931,188,188,1.0
B2,B,40,5.0,1,0.9078805724725616,0.8768975301000487,10000000,2499730,0.249973,0.5000968104555292,188,188,1.0
B3,B,0,3.3,1,0.9022372490418704,0.8923614591407293,10000000,2498510,0.249851,0.5001897130689891,188,188,1.0
B3,B,0,5.0,1,0.9052211039588997,0.8938213202990904,10000000,2500512,0.2500512,0.5006230723947735,188,188,1.0
B3,B,24,3.3,1,0.894234327537763,0.8987224143530884,10000000,2501064,0.2501064,0.500503385759021,188,188,1.0
B3,B,24,5.0,1,0.9047126917132396,0.8659940077890512,10000000,2500934,0.2500934,0.5000423841652758,186,188,0.9893617021276596
B3,B,40,3.3,1,0.9038282615825224,0.8595841378559875,10000000,2500302,0.2500302,0.5002547692238778,188,188,1.0
B3,B,40,5.0,1,0.9339075124444556,0.8888759948999279,10000000,2499970,0.249997,0.5005540066480798,162,162,1.0
B4,B,0,3.3,1,0.9122393070028249,0.9309739229838452,10000000,2501338,0.2501338,0.5000071961486212,188,188,1.0
B4,B,0,5.0,1,0.8954884804415401,0.8720075199247869,10000000,2500215,0.2500215,0.5000033997076252,188,188,1.0
B4,B,24,3.3,1,0.9087933401889844,0.8886095113525937,10000000,2499972,0.2499972,0.500430804825014,188,188,1.0
B4,B,24,5.0,1,0.8901111269611724,0.8575854099847423,10000000,2501523,0.2501523,0.4997547494066615,187,188,0.9946808510638298
B4,B,40,3.3,1,0.888096440232763,0.849793555496612,10000000,2498505,0.2498505,0.5000974582800515,188,188,1.0
B4,B,40,5.0,1,0.9371508134688236,0.9057785018253796,10000000,2500482,0.2500482,0.4997228534338579,188,188,1.0
B5,B,0,3.3,1,0.903526163544892,0.8622195466161556,10000000,2500366,0.2500366,0.500467131611932,188,188,1.0
B5,B,0,5.0,1,0.907205716989141,0.8762274969775613,10000000,2498448,0.2498448,0.49945165959027366,188,188,1.0
B5,B,24,3.3,1,0.8919023435029945,0.8510173786045057,10000000,2499493,0.2499493,0.4994632911554463,188,188,1.0
B5,B,24,5.0,1,0.8955445672671448,0.8864642002403863,10000000,2497270,0.249727,0.5001970151405335,186,188,0.9893617021276596
B6,B,0,3.3,1,0.9149272698841464,0.8413315152716342,10000000,2500987,0.2500987,0.4999762093925318,188,188,1.0
B6,B,0,5.0,1,0.890592514370696,0.8925259332790952,10000000,2498795,0.2498795,0.5003155520961103,188,188,1.0
B6,B,24,3.3,1,0.9233237344501438,0.8610240738833097,10000000,2499272,0.2499272,0.4999535864843842,188,188,1.0
B6,B,24,5.0,1,0.9215419831727307,0.8681289036484009,10000000,2500040,0.250004,0.5006267899713605,188,188,1.0
C1,C,0,3.3,1,0.923847371908608,0.8738729952645928,10000000,2500333,0.2500333,0.50031055863359,188,188,1.0
C1,C,0,5.0,1,0.9274746357227573,0.8786737656171152,10000000,2498067,0.2498067,0.4999645726075401,188,188,1.0
C1,C,24,3.3,1,0.9173040673437608,0.9049527519071948,10000000,2500603,0.2500603,0.5002385424635578,188,188,1.0
C1,C,24,5.0,1,0.893374844036371,0.8657696050851523,10000000,2499075,0.2499075,0.499886157878415,188,188,1.0
C2,C,0,3.3,1,0.9025269773756688,0.8447589929862023,10000000,2498352,0.2498352,0.4995284891800675,188,188,1.0
C2,C,0,5.0,1,0.9072983464528068,0.8712705850620438,10000000,2502278,0.2502278,0.5000791278986587,188,188,1.0
C2,C,24,3.3,1,0.9059930872792112,0.863278865165292,10000000,2498703,0.2498703,0.500515267320686,188,188,1.0
C2,C,24,5.0,1,0.9035764367482924,0.8816984589760973,10000000,2500224,0.2500224,0.4993636570163313,188,188,1.0
C2,C,40,3.3,1,0.8890921504073709,0.8647262671050587,10000000,2497374,0.2497374,0.4999911907467604,188,188,1.0
C2,C,40,5.0,1,0.9099188326112104,0.8731593841713132,10000000,2499131,0.2499131,0.4999649878297696,188,188,1.0
C3,C,0,3.3,1,0.8903330261743593,0.8808373231421976,10000000,2499563,0.2499563,0.4999145850694701,188,188,1.0
C3,C,0,5.0,1,0.9182834586616688,0.8697614335081738,10000000,2502095,0.2502095,0.5003315221844095,186,188,0.9893617021276596
C3,C,24,3.3,1,0.9184049278581408,0.8774849950754414,10000000,2497713,0.2497713,0.5003737418990893,162,162,1.0
C3,C,24,5.0,1,0.9099900219078753,0.8597123902417112,10000000,2499435,0.2499435,0.5002126480584612,187,188,0.9946808510638298
C4,C,0,3.3,1,0.9000417982311562,0.8437748795859656,10000000,2501134,0.2501134,0.4998708585785488,188,188,1.0
C4,C,0,5.0,1,0.9371508134688236,0.8651791251925297,10000000,2497971,0.2497971,0.49996216929660114,188,188,1.0
C4,C,24,3.3,1,0.9090846650708296,0.8712219632519894,10000000,2497406,0.2497406,0.4999583567910063,188,188,1.0
C4,C,24,5.0,1,0.8960861383786263,0.8499323325854142,10000000,2500095,0.2500095,0.4999786008131691,188,188,1.0
C5,C,0,3.3,1,0.916867101455238,0.833561121546546,10000000,2501784,0.2501784,0.5004620702666577,188,188,1.0
C5,C,0,5.0,1,0.9017220249316725,0.8837132465200082,10000000,2499857,0.2499857,0.5005966341274721,188,188,1.0
C5,C,24,3.3,1,0.8887903645887639,0.8706650957473809,10000000,2500047,0.2500047,0.5000701986802648,188,188,1.0
C5,C,24,5.0,1,0.8874714332927179,0.8803006991210665,10000000,2499615,0.2499615,0.5005070780900258,188,188,1.0
C6,C,0,3.3,1,0.8906983330836223,0.8849280471918036,10000000,2499285,0.2499285,0.4997713346016961,188,188,1.0
C6,C,0,5.0,1,0.8967931263705019,0.8766687889142598,10000000,2500792,0.2500792,0.5002179309594721,188,188,1.0
C6,C,24,3.3,1,0.9079477830188436,0.8773574296656143,10000000,2501811,0.2501811,0.5002835945640978,188,188,1.0
C6,C,24,5.0,1,0.9250021146472384,0.8638694027733833,10000000,2500545,0.2500545,0.5000785828689346,187,188,0.9946808510638298
